Sample in Buffer,Sample in Window,TRIGGER,BRAM_SPI_i/receiver_0/inst/data_in_to_device[31:0]
985,985,0,0077fb86
986,986,0,7fffffb8
987,987,0,867ff887
988,988,0,80067ff9
989,989,0,7ffffffb
990,990,0,847ffb84
991,991,0,80067ffb
992,992,0,7ffffff9
993,993,0,867ff986
994,994,0,80067ff9
995,995,0,7ffffff9
996,996,0,867ff986
997,997,0,80067ff9
998,998,0,7ffffff9
999,999,0,867ff986
1000,1000,0,80067ff9
1001,1001,0,7ffffff9
1002,1002,0,877ff987
1003,1003,0,80077ff8
1004,1004,0,7ffffff8
1005,1005,0,877ff887
1006,1006,0,80077ff8
1007,1007,0,7ffffff8
1008,1008,0,877ff887
1009,1009,0,80077ff8
1010,1010,0,7ffffff8
1011,1011,0,877ff887
1012,1012,0,80077ff8
1013,1013,0,7ffffff8
1014,1014,0,877ff887
1015,1015,0,80077ff8
1016,1016,0,7ffffff8
1017,1017,0,877ff887
1018,1018,0,80077ff8
1019,1019,0,7ffffff8
1020,1020,0,877ff887
1021,1021,0,80077ff8
1022,1022,0,67fffff9
1023,1023,0,f887ffb8
